OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
10574,Non-urban Developed,0.77354537,33695.6383743286,920.453175629415
10575,Non-urban Developed,2.79987224,121962.441169739,1602.71187900219
10576,Non-urban Developed,1.37482546,59887.4001617432,1001.84797024156
10577,Non-urban Developed,6.27883848,273506.217773438,2552.12118195634
10578,Non-urban Developed,1.9441603,84687.6270523071,1189.4701106368
10579,Non-urban Developed,5.60394154,244107.705711365,2108.14079105488
10580,Non-urban Developed,3.80106519,165574.408218384,2044.39301657639
10581,Non-urban Developed,1.2414905,54079.3290100098,963.492217495487
10582,Non-urban Developed,4.01442543,174868.380477905,2444.28066034044
10583,Non-urban Developed,2.09358918,91196.7496261597,1466.42486264526
10584,Non-urban Developed,1.08805064,47395.4883651733,862.139099213563
10585,Non-urban Developed,1.27523315,55549.1591186523,1008.84318455411
10586,Non-urban Developed,3.12696662,136210.67301178,1445.87856408217
10587,Non-urban Developed,4.42587492,192791.121459961,2235.32900030708
10588,Non-urban Developed,3.35147497,145990.257263184,1495.76600589952
10589,Non-urban Developed,1.35840966,59172.3277320862,1087.91149615432
10590,Non-urban Developed,1.1546487,50296.5002212524,933.234676250833
10591,Non-urban Developed,0.93997215,40945.1891784668,873.736626894442
